run	phase	total_time_ms	wait_time_ms
1	warmup	3907	3966
2	warmup	4710	4824
3	warmup	3841	4042
4	warmup	7216	7595
5	warmup	5858	5970
6	warmup	4422	4458
7	warmup	3607	3678
8	warmup	3062	3085
9	warmup	3708	3953
10	warmup	2987	3013
11	measured	3292	3321
12	measured	3768	3814
13	measured	3228	3242
14	measured	3144	3154
15	measured	3406	3659
16	measured	2863	2868
17	measured	3929	4108
18	measured	2885	2997
19	measured	3548	3587
20	measured	3778	3854
21	measured	3399	3414
22	measured	2651	2655
23	measured	2957	2974
24	measured	3152	3509
25	measured	3270	3278
26	measured	3963	4112
27	measured	4123	4131
28	measured	2750	2759
29	measured	3436	3581
30	measured	3386	3525
